id,category,question,turns_json,selected_papers,target_scope,expected_papers,reference_answer,required_points,expected_support_sections,should_clarify,should_refuse,notes
Q01,single_paper_factual,"What core problem does Progent say enables many attacks on LLM agents?","[""What core problem does Progent say enables many attacks on LLM agents?""]","",single,"Progent","Progent says the core enabling problem is over-privileged tool access: the agent has more privilege than the task requires, so attackers can steer it into dangerous tool calls.","over-privileged tool access|more privilege than the task requires|dangerous or unnecessary tool calls","abstract;summary|introduction;overview|threat model;security risks;problem statement",0,0,""
Q02,single_paper_factual,"What three runtime controls define MCP-Secure?","[""What three runtime controls define MCP-Secure?""]","",single,"MCP-Secure","MCP-Secure is defined by scoped access, read-only defaults, and approval-gated privilege elevation at runtime.","scoped access|read-only defaults|approval-gated privilege elevation","abstract;summary|introduction;overview|policy controls;design|security state machine;state machine",0,0,""
Q03,single_paper_factual,"What are the three parts of an AgentSpec rule?","[""What are the three parts of an AgentSpec rule?""]","",single,"AgentSpec","An AgentSpec rule is built from a trigger, predicate conditions, and an enforcement action.","trigger|predicate or condition|enforcement action","abstract;summary|language;dsl;agentspec language|design;overview",0,0,""
Q04,single_paper_factual,"Why does Conseca argue static policies are not enough for generalist agents?","[""Why does Conseca argue static policies are not enough for generalist agents?""]","",single,"Conseca","Conseca argues static policies are too coarse because action safety depends on context, and generalist agents encounter many more contexts and purposes than fixed rules can anticipate well.","safety depends on context|static policies are too coarse or static|generalist agents face many contexts or purposes","abstract;summary|introduction;overview|design;contextual security;trusted context",0,0,""
Q05,single_paper_factual,"What does AgentGuardian learn during its staging phase?","[""What does AgentGuardian learn during its staging phase?""]","",single,"AgentGuardian","During staging, AgentGuardian learns legitimate execution behavior and input patterns from observed traces, then derives adaptive access-control policies from that behavior.","legitimate behaviors|input patterns|execution traces|adaptive policies","abstract;summary|introduction;overview|architecture;policy generation;staging phase",0,0,""
Q06,single_paper_factual,"What does AgentArmor build from an agent's runtime trace before it enforces policies?","[""What does AgentArmor build from an agent's runtime trace before it enforces policies?""]","",single,"AgentArmor","AgentArmor converts the runtime trace into a program dependence graph, annotates it with security properties, and inspects that graph before unsafe operations execute.","program dependence graph or PDG|graph annotation or security properties|inspection before execution","abstract;summary|introduction;overview|program dependence graph;pdg;graph abstraction|graph annotator;graph inspector",0,0,""
Q07,single_paper_factual,"What are the three stages in ACE?","[""What are the three stages in ACE?""]","",single,"ACE","ACE separates the workflow into abstract planning, concrete planning, and execution, then keeps execution aligned with the trusted abstract plan.","abstract plan|concrete plan|execution phase|trusted abstract plan alignment","abstract;summary|introduction;overview|system architecture;design principles|execution;barriers",0,0,""
Q08,single_paper_summary,"Summarize Progent in one short paragraph: goal, method, and main result.","[""Summarize Progent in one short paragraph: goal, method, and main result.""]","",single,"Progent","Progent is a programmable privilege-control framework for LLM agents. It uses a DSL to define fine-grained tool policies, fallback actions, and dynamic updates, enforces them deterministically at runtime, and reports 0 percent attack success with preserved utility and speed.","programmable privilege-control framework|tool-level DSL policies|fallback actions or dynamic updates|deterministic runtime enforcement|0 percent attack success|preserved utility or speed","abstract;summary|introduction;overview|design;policy language|evaluation;results;experiments",0,0,""
Q09,single_paper_summary,"Summarize MCP-Secure in one short paragraph: goal, method, and main finding.","[""Summarize MCP-Secure in one short paragraph: goal, method, and main finding.""]","",single,"MCP-Secure","MCP-Secure is a host-side runtime access-control layer for MCP tooling. It mediates tool use with scoped access, read-only defaults, approval-gated elevation, and a session-level state machine, and it reports strong safety gains with interpretable safety-utility tradeoffs.","host-side runtime access-control layer|scoped access read-only defaults approval-gated elevation|session-level state machine|strong safety gains or interpretable safety-utility tradeoffs","abstract;summary|introduction;overview|policy controls;design|security state machine;state machine|evaluation;results",0,0,""
Q10,single_paper_summary,"Summarize AgentSpec in one short paragraph: goal, mechanism, and headline result.","[""Summarize AgentSpec in one short paragraph: goal, mechanism, and headline result.""]","",single,"AgentSpec","AgentSpec is a lightweight DSL for runtime enforcement in LLM agents. It specifies triggers, predicates, and enforcement actions, works across code, embodied-agent, and autonomous-driving settings, and reports strong safety gains with millisecond-level overhead.","runtime enforcement DSL|triggers predicates and enforcement actions|multiple domains|strong safety gains|millisecond overhead","abstract;summary|introduction;overview|language;dsl;agentspec language|evaluation;results;experiments",0,0,""
Q11,single_paper_summary,"Summarize Conseca with emphasis on why context matters for security.","[""Summarize Conseca with emphasis on why context matters for security.""]","",single,"Conseca","Conseca argues that action safety depends on context, so static policies are too coarse for generalist agents. It proposes just-in-time contextual and human-verifiable policies so actions are judged against the user's purpose and surrounding context.","context determines whether an action is safe|static policies are too coarse|just-in-time contextual policies|human-verifiable or transparent policies","abstract;summary|introduction;overview|design;contextual security;trusted context",0,0,""
Q12,single_paper_summary,"Summarize AgentGuardian in terms of setup phase, runtime governance, and outcome.","[""Summarize AgentGuardian in terms of setup phase, runtime governance, and outcome.""]","",single,"AgentGuardian","AgentGuardian first observes a controlled staging phase to learn legitimate behaviors and input patterns. It then enforces adaptive access-control policies at runtime using both input context and control-flow dependencies, while trying to preserve normal functionality.","controlled staging phase|learns legitimate behaviors and input patterns|adaptive access-control policies|input context and control-flow dependencies|preserves normal functionality","abstract;summary|introduction;overview|architecture;policy generation;staging phase|evaluation;results",0,0,""
Q13,single_paper_summary,"Summarize AgentArmor in one short paragraph: goal, mechanism, and main finding.","[""Summarize AgentArmor in one short paragraph: goal, mechanism, and main finding.""]","",single,"AgentArmor","AgentArmor secures LLM agents against prompt injection by treating runtime traces as programs. It builds program dependence graphs, annotates them with security properties, inspects them before execution, and reports a very low attack success rate with minimal functional overhead.","defends prompt injection|runtime traces treated as programs|program dependence graphs|security annotation and inspection|low attack success rate|minimal functional overhead","abstract;summary|introduction;overview|graph abstraction;program dependence graph;pdg|evaluation;results",0,0,""
Q14,single_paper_summary,"Summarize ACE in one short paragraph: goal, architecture, and main result.","[""Summarize ACE in one short paragraph: goal, architecture, and main result.""]","",single,"ACE","ACE is a security architecture for LLM-integrated app systems. It separates abstract planning, concrete planning, and execution, verifies secure information-flow constraints, enforces data and capability barriers, and reports strong resistance to malicious-app attacks.","security architecture for LLM-integrated app systems|abstract plan concrete plan execution|secure information-flow verification|data and capability barriers|strong resistance to malicious-app attacks","abstract;summary|introduction;overview|system architecture;design principles|execution;barriers|evaluation;results",0,0,""
Q15,multi_paper_synthesis,"Compare Progent and MCP-Secure as least-privilege runtime control systems.","[""Compare Progent and MCP-Secure as least-privilege runtime control systems.""]","",multi,"Progent|MCP-Secure","Both are runtime least-privilege defenses, but Progent centers a programmable DSL for tool-level privileges while MCP-Secure is a host-side MCP wrapper with scoped access, read-only defaults, approval-gated elevation, and a session-level state machine.","both are runtime least-privilege systems|Progent uses a programmable DSL over tool privileges|MCP-Secure is a host-side MCP wrapper|scoped access and approval-gated elevation|session-level state machine or no agent modification","abstract;summary|introduction;overview|policy controls;design|security state machine;state machine",0,0,""
Q16,multi_paper_synthesis,"Compare AgentSpec and AgentArmor in how they represent enforcement logic.","[""Compare AgentSpec and AgentArmor in how they represent enforcement logic.""]","",multi,"AgentSpec|AgentArmor","AgentSpec represents enforcement as explicit runtime rules with triggers, predicates, and actions, while AgentArmor represents execution as a dependence graph and applies program-analysis-style inspection. Both operate at runtime, but one is rule-centric and the other is graph-analysis-centric.","AgentSpec uses an explicit rule DSL|AgentArmor uses graph abstraction or PDGs|both are runtime safeguards|contrast rule-centric and graph-analysis-centric enforcement","abstract;summary|introduction;overview|language;dsl|program dependence graph;pdg;graph abstraction",0,0,""
Q17,multi_paper_synthesis,"Compare Conseca and AgentGuardian on how policies are produced.","[""Compare Conseca and AgentGuardian on how policies are produced.""]","",multi,"Conseca|AgentGuardian","Conseca generates just-in-time contextual policies from trusted context, while AgentGuardian learns adaptive policies from benign staging traces and execution behavior. Both move beyond purely static hand-authored controls, but one is context-generated and the other is trace-learned.","Conseca generates contextual policies from trusted context|AgentGuardian learns policies from staging traces|both move beyond purely static controls|contrast context-generated and trace-learned policies","abstract;summary|introduction;overview|trusted context;contextual security|architecture;policy generation;staging phase",0,0,""
Q18,multi_paper_synthesis,"Which papers in this project are most directly about defending prompt injection or malicious tool misuse, and how do they differ?","[""Which papers in this project are most directly about defending prompt injection or malicious tool misuse, and how do they differ?""]","",multi,"Progent|MCP-Secure|AgentArmor|ACE","Progent, MCP-Secure, AgentArmor, and ACE are the strongest direct fits. Progent controls tool privileges, MCP-Secure constrains MCP tool access with scoped and approval-gated runtime controls, AgentArmor analyzes runtime trace dependencies, and ACE isolates planning and execution with information-flow and app barriers.","identify Progent MCP-Secure AgentArmor and ACE|Progent privilege control over tool calls|MCP-Secure scoped MCP runtime controls|AgentArmor runtime trace graph analysis|ACE planning-execution isolation and information-flow barriers","abstract;summary|introduction;overview|design;framework;architecture|evaluation;results",0,0,""
Q19,multi_paper_synthesis,"Which papers rely most on runtime enforcement, and how do they differ in mechanism?","[""Which papers rely most on runtime enforcement, and how do they differ in mechanism?""]","",multi,"Progent|MCP-Secure|AgentSpec|AgentArmor|ACE","The clearest runtime-enforcement papers are Progent, MCP-Secure, AgentSpec, AgentArmor, and ACE. They differ by mechanism: privilege-control policies, host-side access control, a runtime rule DSL, dependence-graph inspection, and planning-execution separation with barriers.","identify the strongest runtime-enforcement papers|Progent privilege-control policies|MCP-Secure host-side access control|AgentSpec rule DSL|AgentArmor graph inspection|ACE planning-execution separation and barriers","abstract;summary|introduction;overview|design;framework;architecture",0,0,""
Q20,multi_paper_synthesis,"Which papers rely more on generated or learned policies, and which rely more on hand-authored controls?","[""Which papers rely more on generated or learned policies, and which rely more on hand-authored controls?""]","",multi,"Conseca|AgentGuardian|Progent|AgentSpec|MCP-Secure","AgentGuardian and Conseca lean most toward learned or generated policy creation, while Progent, AgentSpec, and MCP-Secure lean more toward explicit hand-authored controls even if some of them also discuss LLM-assisted rule or policy generation.","AgentGuardian learned policies from traces|Conseca generated contextual policies|Progent explicit policies with some LLM-generated policy discussion|AgentSpec explicit rules with some LLM-generated rule discussion|MCP-Secure explicit host-side controls","abstract;summary|introduction;overview|policy generation;rule generation|design;policy controls|discussion;conclusion",0,0,""
Q21,multi_paper_synthesis,"Among the selected papers, which ones rely on learned or generated policies?","[""Among the selected papers, which ones rely on learned or generated policies?""]","1 Progent|2 MCP-Secure|3 AgentSpec|4 Conseca|5 AgentGuardian|6 AgentArmor|7 ACE",multi,"Conseca|AgentGuardian|Progent|AgentSpec","Among the selected papers, AgentGuardian and Conseca are the clearest learned or generated policy cases. Progent and AgentSpec also mention LLM-generated policies or rules, while MCP-Secure, AgentArmor, and ACE are more strongly framed around explicit enforcement mechanisms.","AgentGuardian learned policies|Conseca generated policies|Progent mentions generated policies|AgentSpec mentions generated rules|distinguish from explicit-control papers","abstract;summary|introduction;overview|policy generation;rule generation|discussion;conclusion",0,0,"Tests selected-scope behavior."
Q22,multi_paper_synthesis,"Give a one-sentence methodological distinction for each paper in this project.","[""Give a one-sentence methodological distinction for each paper in this project.""]","",all,"Progent|MCP-Secure|AgentSpec|Conseca|AgentGuardian|AgentArmor|ACE","Progent uses programmable privilege-control policies, MCP-Secure uses a host-side MCP access-control wrapper, AgentSpec uses a runtime rule DSL, Conseca generates contextual policies, AgentGuardian learns access-control behavior from staging traces, AgentArmor analyzes runtime traces as dependence graphs, and ACE separates abstract planning from concrete execution with information-flow checks.","Progent method|MCP-Secure method|AgentSpec method|Conseca method|AgentGuardian method|AgentArmor method|ACE method","abstract;summary|introduction;overview|design;framework;architecture",0,0,""
Q23,evidence_lookup,"Find the papers that explicitly frame the problem in terms of least privilege or scoped access control.","[""Find the papers that explicitly frame the problem in terms of least privilege or scoped access control.""]","",all,"Progent|MCP-Secure","Progent and MCP-Secure are the strongest direct matches. Progent explicitly focuses on over-privileged tool access and privilege control, while MCP-Secure explicitly uses scoped access, read-only defaults, and approval-gated privilege elevation.","Progent as a direct least-privilege or over-privileged access paper|MCP-Secure as a direct scoped-access paper|avoid overstating weaker matches","abstract;summary|introduction;overview|policy controls;design",0,0,"Prefer direct evidence over broad paraphrases."
Q24,evidence_lookup,"Which paper explicitly verifies secure information-flow constraints, and what does it enforce during execution?","[""Which paper explicitly verifies secure information-flow constraints, and what does it enforce during execution?""]","",single,"ACE","ACE is the paper that explicitly verifies secure information-flow constraints. During execution it enforces data and capability barriers and keeps execution aligned with the trusted abstract plan.","ACE|static analysis or verification of secure information-flow constraints|data barriers|capability barriers|trusted abstract plan alignment","abstract;summary|system architecture;design principles|execution;barriers;secure information flow",0,0,""
