scope,group,system,metric,value
overall,all,litspace_rag,correctness_mean,1.4222222222222223
overall,all,litspace_rag,correctness_std,0.8115330298797817
overall,all,litspace_rag,correctness_ci95,0.2371133547175478
overall,all,litspace_rag,completeness_mean,1.2666666666666666
overall,all,litspace_rag,completeness_std,0.7804427647758092
overall,all,litspace_rag,completeness_ci95,0.22802941507931412
overall,all,litspace_rag,relevance_mean,1.711111111111111
overall,all,litspace_rag,relevance_std,0.6260344973874777
overall,all,litspace_rag,relevance_ci95,0.1829144771426598
overall,all,litspace_rag,helpfulness_mean,1.4222222222222223
overall,all,litspace_rag,helpfulness_std,0.8115330298797817
overall,all,litspace_rag,helpfulness_ci95,0.2371133547175478
overall,all,litspace_rag,faithfulness_mean,1.4444444444444444
overall,all,litspace_rag,faithfulness_std,0.5458752586258128
overall,all,litspace_rag,faithfulness_ci95,0.15949358690828583
overall,all,litspace_rag,followup_success_mean,1.8571428571428572
overall,all,litspace_rag,followup_success_std,0.37796447300922725
overall,all,litspace_rag,followup_success_ci95,0.27999999999999997
overall,all,litspace_rag,paper_hit_at_5_mean,0.9722222222222222
overall,all,litspace_rag,paper_hit_at_5_std,0.16666666666666666
overall,all,litspace_rag,paper_hit_at_5_ci95,0.05444444444444444
overall,all,litspace_rag,paper_recall_at_5_mean,0.8621031746031746
overall,all,litspace_rag,paper_recall_at_5_std,0.26230542945580726
overall,all,litspace_rag,paper_recall_at_5_ci95,0.08568644028889703
overall,all,litspace_rag,section_hit_at_5_mean,0.6388888888888888
overall,all,litspace_rag,section_hit_at_5_std,0.4871361075732195
overall,all,litspace_rag,section_hit_at_5_ci95,0.15913112847391836
overall,all,litspace_rag,section_recall_at_5_mean,0.30833333333333335
overall,all,litspace_rag,section_recall_at_5_std,0.3114609710829537
overall,all,litspace_rag,section_recall_at_5_ci95,0.10174391722043152
overall,all,litspace_rag,paper_mrr_at_5_mean,0.95
overall,all,litspace_rag,paper_mrr_at_5_std,0.2104417123236605
overall,all,litspace_rag,paper_mrr_at_5_ci95,0.06874429269239575
overall,all,litspace_rag,clarification_accuracy_mean,0.4
overall,all,litspace_rag,clarification_accuracy_std,0.5477225575051661
overall,all,litspace_rag,clarification_accuracy_ci95,0.4800999895855028
overall,all,litspace_rag,refusal_accuracy_mean,0.75
overall,all,litspace_rag,refusal_accuracy_std,0.5
overall,all,litspace_rag,refusal_accuracy_ci95,0.49
overall,all,litspace_rag,answered_rate,0.7111111111111111
overall,all,litspace_rag,clarified_rate,0.15555555555555556
overall,all,litspace_rag,refused_rate,0.13333333333333333
overall,all,litspace_rag,over_clarification_rate,0.125
overall,all,litspace_rag,over_refusal_rate,0.07317073170731707
overall,all,litspace_rag,avg_latency_sec,2.233415
overall,all,litspace_rag,latency_std,1.9675929587336585
overall,all,litspace_rag,latency_ci95,0.5748904234163774
overall,all,litspace_rag,avg_input_tokens,5242.21875
overall,all,litspace_rag,avg_output_tokens,256.09375
overall,all,litspace_rag,avg_cost_usd,0.0050840859375
overall,all,zero_shot,correctness_mean,0.3333333333333333
overall,all,zero_shot,correctness_std,0.6396021490668313
overall,all,zero_shot,correctness_ci95,0.18687866749213608
overall,all,zero_shot,completeness_mean,0.2222222222222222
overall,all,zero_shot,completeness_std,0.5595813731096784
overall,all,zero_shot,completeness_ci95,0.16349823325754603
overall,all,zero_shot,relevance_mean,1.2222222222222223
overall,all,zero_shot,relevance_std,0.4714045207910317
overall,all,zero_shot,relevance_ci95,0.13773476030955606
overall,all,zero_shot,helpfulness_mean,0.3111111111111111
overall,all,zero_shot,helpfulness_std,0.6332535834956649
overall,all,zero_shot,helpfulness_ci95,0.18502374646637498
overall,all,zero_shot,faithfulness_mean,
overall,all,zero_shot,faithfulness_std,
overall,all,zero_shot,faithfulness_ci95,
overall,all,zero_shot,followup_success_mean,0.0
overall,all,zero_shot,followup_success_std,0.0
overall,all,zero_shot,followup_success_ci95,0.0
overall,all,zero_shot,clarification_accuracy_mean,0.8
overall,all,zero_shot,clarification_accuracy_std,0.4472135954999579
overall,all,zero_shot,clarification_accuracy_ci95,0.39199999999999996
overall,all,zero_shot,refusal_accuracy_mean,0.0
overall,all,zero_shot,refusal_accuracy_std,0.0
overall,all,zero_shot,refusal_accuracy_ci95,0.0
overall,all,zero_shot,answered_rate,0.7555555555555555
overall,all,zero_shot,clarified_rate,0.24444444444444444
overall,all,zero_shot,refused_rate,0.0
overall,all,zero_shot,over_clarification_rate,0.175
overall,all,zero_shot,over_refusal_rate,0.0
overall,all,zero_shot,avg_latency_sec,2.035074688888889
overall,all,zero_shot,latency_std,0.8673524457825357
overall,all,zero_shot,latency_ci95,0.25342264648480556
overall,all,zero_shot,avg_input_tokens,150.57777777777778
overall,all,zero_shot,avg_output_tokens,92.28888888888889
overall,all,zero_shot,avg_cost_usd,0.0005282333333333333
overall,all,summary_few_shot,correctness_mean,1.3333333333333333
overall,all,summary_few_shot,correctness_std,0.7977240352174656
overall,all,summary_few_shot,correctness_ci95,0.23307864888414073
overall,all,summary_few_shot,completeness_mean,1.0222222222222221
overall,all,summary_few_shot,completeness_std,0.6904836542364177
overall,all,summary_few_shot,completeness_ci95,0.20174520272807847
overall,all,summary_few_shot,relevance_mean,1.8222222222222222
overall,all,summary_few_shot,relevance_std,0.4415308539043392
overall,all,summary_few_shot,relevance_ci95,0.12900628578983442
overall,all,summary_few_shot,helpfulness_mean,1.2666666666666666
overall,all,summary_few_shot,helpfulness_std,0.7804427647758092
overall,all,summary_few_shot,helpfulness_ci95,0.22802941507931412
overall,all,summary_few_shot,faithfulness_mean,1.8222222222222222
overall,all,summary_few_shot,faithfulness_std,0.38664576746028073
overall,all,summary_few_shot,faithfulness_ci95,0.1129699859824918
overall,all,summary_few_shot,followup_success_mean,1.7142857142857142
overall,all,summary_few_shot,followup_success_std,0.7559289460184545
overall,all,summary_few_shot,followup_success_ci95,0.5599999999999999
overall,all,summary_few_shot,clarification_accuracy_mean,0.8
overall,all,summary_few_shot,clarification_accuracy_std,0.4472135954999579
overall,all,summary_few_shot,clarification_accuracy_ci95,0.39199999999999996
overall,all,summary_few_shot,refusal_accuracy_mean,1.0
overall,all,summary_few_shot,refusal_accuracy_std,0.0
overall,all,summary_few_shot,refusal_accuracy_ci95,0.0
overall,all,summary_few_shot,answered_rate,0.7777777777777778
overall,all,summary_few_shot,clarified_rate,0.13333333333333333
overall,all,summary_few_shot,refused_rate,0.08888888888888889
overall,all,summary_few_shot,over_clarification_rate,0.05
overall,all,summary_few_shot,over_refusal_rate,0.0
overall,all,summary_few_shot,avg_latency_sec,2.0846193555555557
overall,all,summary_few_shot,latency_std,0.9927337049013184
overall,all,summary_few_shot,latency_ci95,0.29005648623470304
overall,all,summary_few_shot,avg_input_tokens,629.6666666666666
overall,all,summary_few_shot,avg_output_tokens,72.8
overall,all,summary_few_shot,avg_cost_usd,0.00079985
pairwise,all,litspace_vs_zero_shot,a_win_rate,0.7555555555555555
pairwise,all,litspace_vs_zero_shot,b_win_rate,0.1111111111111111
pairwise,all,litspace_vs_zero_shot,tie_rate,0.13333333333333333
pairwise,all,litspace_vs_summary_few_shot,a_win_rate,0.4888888888888889
pairwise,all,litspace_vs_summary_few_shot,b_win_rate,0.26666666666666666
pairwise,all,litspace_vs_summary_few_shot,tie_rate,0.24444444444444444
category,ambiguity,litspace_rag,correctness_mean,0.6
category,ambiguity,litspace_rag,correctness_std,0.8944271909999159
category,ambiguity,litspace_rag,correctness_ci95,0.7839999999999999
category,ambiguity,litspace_rag,completeness_mean,0.6
category,ambiguity,litspace_rag,completeness_std,0.8944271909999159
category,ambiguity,litspace_rag,completeness_ci95,0.7839999999999999
category,ambiguity,litspace_rag,relevance_mean,1.4
category,ambiguity,litspace_rag,relevance_std,0.5477225575051661
category,ambiguity,litspace_rag,relevance_ci95,0.4800999895855028
category,ambiguity,litspace_rag,helpfulness_mean,0.6
category,ambiguity,litspace_rag,helpfulness_std,0.8944271909999159
category,ambiguity,litspace_rag,helpfulness_ci95,0.7839999999999999
category,ambiguity,litspace_rag,faithfulness_mean,1.6
category,ambiguity,litspace_rag,faithfulness_std,0.8944271909999159
category,ambiguity,litspace_rag,faithfulness_ci95,0.7839999999999999
category,ambiguity,litspace_rag,followup_success_mean,
category,ambiguity,litspace_rag,followup_success_std,
category,ambiguity,litspace_rag,followup_success_ci95,
category,ambiguity,litspace_rag,paper_hit_at_5_mean,
category,ambiguity,litspace_rag,paper_hit_at_5_std,
category,ambiguity,litspace_rag,paper_hit_at_5_ci95,
category,ambiguity,litspace_rag,paper_recall_at_5_mean,
category,ambiguity,litspace_rag,paper_recall_at_5_std,
