id,paper_hit_at_5,paper_recall_at_5,section_hit_at_5,section_recall_at_5,paper_mrr_at_5,clarification_accuracy,refusal_accuracy
Q01,1,1.0,1,0.6666666666666666,1.0,,
Q02,1,1.0,1,1.0,1.0,,
Q03,1,1.0,0,0.0,1.0,,
Q04,1,1.0,0,0.0,1.0,,
Q05,1,1.0,0,0.0,1.0,,
Q06,1,1.0,0,0.0,1.0,,
Q07,1,1.0,1,0.25,1.0,,
Q08,1,1.0,1,0.25,1.0,,
Q09,1,1.0,1,0.6,1.0,,
Q10,1,1.0,0,0.0,1.0,,
Q11,1,1.0,1,0.3333333333333333,1.0,,
Q12,1,1.0,1,0.25,1.0,,
Q13,1,1.0,0,0.0,1.0,,
Q14,1,1.0,1,0.8,1.0,,
Q15,1,0.5,1,0.75,1.0,,
Q16,1,1.0,0,0.0,1.0,,
Q17,1,1.0,0,0.0,1.0,,
Q18,1,0.75,1,0.25,1.0,,
Q19,1,0.4,1,0.3333333333333333,1.0,,
Q20,1,0.6,1,0.2,1.0,,
Q21,1,0.5,1,0.25,1.0,,
Q22,1,0.2857142857142857,0,0.0,1.0,,
Q23,1,0.5,1,0.6666666666666666,1.0,,
Q24,1,1.0,0,0.0,1.0,,
Q25,1,1.0,1,0.25,1.0,,
Q26,0,0.0,1,0.6666666666666666,0.0,,
Q27,1,1.0,0,0.0,1.0,,
Q28,1,1.0,1,0.6666666666666666,1.0,,
Q29,1,1.0,1,0.3333333333333333,1.0,,
Q30,1,1.0,1,0.3333333333333333,1.0,,
Q31,1,0.5,1,1.0,1.0,,
Q32,1,1.0,1,0.6666666666666666,0.2,,
Q33,1,1.0,1,0.3333333333333333,1.0,,
Q34,1,1.0,0,0.0,1.0,,
Q35,1,1.0,0,0.0,1.0,,
Q36,1,1.0,1,0.25,1.0,,
Q37,,,,,,1,
Q38,,,,,,1,
Q39,,,,,,0,
Q40,,,,,,0,
Q41,,,,,,0,
Q42,,,,,,,1
Q43,,,,,,,1
Q44,,,,,,,0
Q45,,,,,,,1
